Tran,San,Gia_tri_PPG,Truc_0
300,-300,-2950.99,0
300,-300,-2616.63,0
300,-300,-2288.82,0
300,-300,-1994.23,0
300,-300,-1758.97,0
300,-300,-1603.95,0
300,-300,-1542.67,0
300,-300,-1575.62,0
300,-300,-1696.69,0
300,-300,-1885.46,0
300,-300,-2112.95,0
300,-300,-2346.07,0
300,-300,-2549.26,0
300,-300,-2689.35,0
300,-300,-2740.67,0
300,-300,-2687.31,0
300,-300,-2525.56,0
300,-300,-2262.45,0
300,-300,-1915.37,0
300,-300,-1511.96,0
300,-300,-1081.49,0
300,-300,-656.79,0
300,-300,-265.38,0
300,-300,68.77,0
300,-300,329.94,0
300,-300,508.97,0
300,-300,604.03,0
300,-300,621.34,0
300,-300,568.06,0
300,-300,456.06,0
300,-300,291.54,0
300,-300,91.35,0
300,-300,-138.2,0
300,-300,-391.34,0
300,-300,-664.79,0
300,-300,-953.56,0
300,-300,-1254.21,0
300,-300,-1563.57,0
300,-300,-1874.22,0
300,-300,-2180.38,0
300,-300,-2476.64,0
300,-300,-2755.99,0
300,-300,-3016.03,0
300,-300,-3252.53,0
300,-300,-3465.57,0
300,-300,-3654.6,0
300,-300,-3821.89,0
300,-300,-3970.78,0
300,-300,-4102.53,0
300,-300,-4216.44,0
300,-300,-4314.36,0
300,-300,-4387.64,0
300,-300,-4430.54,0
300,-300,-4433.78,0
300,-300,-4389.4,0
300,-300,-4290.71,0
300,-300,-4132.48,0
300,-300,-3901.94,0
300,-300,-3622.27,0
300,-300,-3302.06,0
300,-300,-2962.68,0
300,-300,-2625.3,0
300,-300,-2315.8,0
300,-300,-2057.75,0
300,-300,-1874.58,0
300,-300,-1778.55,0
300,-300,-1773.17,0
300,-300,-1852.61,0
300,-300,-1998.7,0
300,-300,-2187.91,0
300,-300,-2389.77,0
300,-300,-2571.09,0
300,-300,-2700.01,0
300,-300,-2748.72,0
300,-300,-2699.38,0
300,-300,-2544.21,0
300,-300,-2286.61,0
300,-300,-1939.42,0
300,-300,-1525.27,0
300,-300,-1068.8,0
300,-300,-603.63,0
300,-300,-156.99,0
300,-300,245.84,0
300,-300,586.01,0
300,-300,850.44,0
300,-300,1034.66,0
300,-300,1141.4,0
300,-300,1176.58,0
300,-300,1150.91,0
300,-300,1073.45,0
300,-300,956.35,0
300,-300,806.93,0
300,-300,630.87,0
300,-300,431.31,0
300,-300,211.62,0
300,-300,-25.81,0
300,-300,-279.17,0
300,-300,-545.25,0
300,-300,-820.27,0
300,-300,-1096.87,0
300,-300,-1369.61,0
300,-300,-1632.48,0
300,-300,-1879.8,0
300,-300,-2106.95,0
300,-300,-2310.69,0
300,-300,-2489.68,0
300,-300,-2645.19,0
300,-300,-2778.63,0
300,-300,-2892.27,0
300,-300,-2989.1,0
300,-300,-3067.14,0
300,-300,-3126.83,0
300,-300,-3164.99,0
300,-300,-3179.19,0
300,-300,-3165.89,0
300,-300,-3121.93,0
300,-300,-3033.59,0
300,-300,-2905.8,0
300,-300,-2738.58,0
300,-300,-2537.09,0
300,-300,-2310.72,0
300,-300,-2074.26,0
300,-300,-1842.97,0
300,-300,-1634.32,0
300,-300,-1464.3,0
300,-300,-1346.01,0
300,-300,-1292.43,0
