Tran,San,Gia_tri_PPG,Truc_0
300,-300,-530.17,0
300,-300,-1317.84,0
300,-300,-2584.97,0
300,-300,-4439.28,0
300,-300,-6949.09,0
300,-300,-10135.16,0
300,-300,-13962.78,0
300,-300,-18335.23,0
300,-300,-23092.05,0
300,-300,-28034.42,0
300,-300,-32957.77,0
300,-300,-37479.91,0
300,-300,-41393.56,0
300,-300,-44489.70,0
300,-300,-46633.16,0
300,-300,-47781.37,0
300,-300,-47994.92,0
300,-300,-47434.86,0
300,-300,-46347.76,0
300,-300,-45040.87,0
300,-300,-43850.50,0
300,-300,-43103.63,0
300,-300,-43085.50,0
300,-300,-44008.68,0
300,-300,-45993.79,0
300,-300,-49059.64,0
300,-300,-53126.14,0
300,-300,-58026.25,0
300,-300,-63526.69,0
300,-300,-69352.74,0
300,-300,-75213.61,0
300,-300,-80825.17,0
300,-300,-85926.18,0
300,-300,-90288.96,0
300,-300,-93723.93,0
300,-300,-96077.65,0
300,-300,-97227.73,0
300,-300,-97077.59,0
300,-300,-95551.66,0
300,-300,-92594.41,0
300,-300,-88171.12,0
300,-300,-82276.82,0
300,-300,-74939.11,0
300,-300,-66227.78,0
300,-300,-56260.64,0
300,-300,-45203.34,0
300,-300,-33266.83,0
300,-300,-20698.67,0
300,-300,-7770.49,0
300,-300,5236.94,0
300,-300,18050.77,0
300,-300,30418.96,0
300,-300,42119.45,0
300,-300,52966.26,0
300,-300,62808.94,0
300,-300,71528.70,0
300,-300,79031.00,0
300,-300,85239.84,0
300,-300,90091.14,0
300,-300,93535.26,0
300,-300,95532.90,0
300,-300,96071.13,0
300,-300,95169.40,0
300,-300,92894.41,0
300,-300,89368.18,0
300,-300,84776.73,0
300,-300,79366.58,0
300,-300,73438.46,0
300,-300,67327.67,0
300,-300,61384.27,0
300,-300,55938.30,0
300,-300,51275.09,0
300,-300,47604.68,0
300,-300,45044.13,0
300,-300,43602.86,0
300,-300,43184.84,0
300,-300,43597.84,0
300,-300,44576.44,0
300,-300,45808.87,0
300,-300,46971.78,0
300,-300,47760.71,0
300,-300,47923.02,0
300,-300,47278.40,0
300,-300,45734.04,0
300,-300,43287.32,0
300,-300,40019.96,0
300,-300,36083.72,0
300,-300,31678.97,0
300,-300,27031.80,0
300,-300,22369.28,0
300,-300,17748.36,0
300,-300,13782.27,0
300,-300,10226.24,0
300,-300,7170.40,0
300,-300,4668.17,0
300,-300,2721.02,0
300,-300,1287.40,0
300,-300,298.58,0
300,-300,-333.40,0
300,-300,-705.18,0
300,-300,-910.71,0
300,-300,-965.57,0
300,-300,-1037.13,0
300,-300,-1122.15,0
300,-300,-1217.68,0
300,-300,-1319.70,0
300,-300,-1425.68,0
300,-300,-1532.47,0
300,-300,-1641.61,0
300,-300,-1750.81,0
300,-300,-1862.24,0
300,-300,-1976.29,0
300,-300,-2095.01,0
300,-300,-2218.66,0
300,-300,-2346.73,0
300,-300,-2477.07,0
300,-300,-2606.90,0
300,-300,-2731.86,0
300,-300,-2849.36,0
300,-300,-2954.45,0
300,-300,-3044.72,0
300,-300,-3118.50,0
300,-300,-3175.49,0
300,-300,-3216.69,0
300,-300,-3244.37,0
300,-300,-3261.05,0
300,-300,-3268.76,0
300,-300,-3269.14,0
300,-300,-3263.05,0
300,-300,-3248.91,0
300,-300,-3224.51,0
300,-300,-3188.30,0
300,-300,-3135.71,0
300,-300,-3064.48,0
300,-300,-2973.39,0
300,-300,-2862.21,0
300,-300,-2733.30,0
300,-300,-2590.44,0
300,-300,-2436.99,0
300,-300,-2281.31,0
300,-300,-2127.96,0
300,-300,-1982.77,0
300,-300,-1850.64,0
300,-300,-1733.70,0
300,-300,-1632.68,0
300,-300,-1545.81,0
300,-300,-1470.32,0
300,-300,-1397.48,0
300,-300,-1326.94,0
300,-300,-1252.06,0
300,-300,-1172.10,0
300,-300,-1083.20,0
300,-300,-986.26,0
300,-300,-882.96,0
300,-300,-777.53,0
300,-300,-673.41,0
300,-300,-575.36,0
300,-300,-485.97,0
300,-300,-407.97,0
300,-300,-340.81,0
300,-300,-284.89,0
300,-300,-236.27,0
300,-300,-191.82,0
300,-300,-146.70,0
300,-300,-97.85,0
300,-300,-41.67,0
300,-300,20.44,0
300,-300,91.18,0
300,-300,167.23,0
300,-300,245.71,0
300,-300,321.59,0
300,-300,391.03,0
300,-300,449.16,0
300,-300,492.05,0
300,-300,515.79,0
300,-300,518.74,0
300,-300,499.40,0
300,-300,458.72,0
300,-300,397.18,0
300,-300,316.47,0
300,-300,218.09,0
300,-300,103.50,0
300,-300,-26.77,0
300,-300,-171.87,0
300,-300,-331.26,0
300,-300,-503.03,0
300,-300,-684.18,0
300,-300,-875.14,0
300,-300,-1073.85,0
300,-300,-1275.94,0
300,-300,-1480.58,0
300,-300,-1684.07,0
300,-300,-1883.97,0
300,-300,-2076.69,0
300,-300,-2261.19,0
300,-300,-2436.02,0
300,-300,-2601.94,0
300,-300,-2756.65,0
300,-300,-2901.23,0
300,-300,-3031.79,0
