Original,Filtered
16816.70282488356,1193.9161853271269
16860.74268210881,1197.4922463555638
16899.696391811318,1201.4789063499559
16930.25787296695,1205.9819404877644
16952.09907230342,1211.1882566358502
16968.083394158024,1217.3610097579108
16983.401414604534,1224.8013545433
17003.884348454892,1233.7896692257555
17034.033161260246,1244.5275344121283
17075.42479047377,1257.1024024436092
17126.070403724993,1271.4892001063786
17181.014515494324,1287.5895605012045
17234.054451932665,1305.2947323952822
17280.053088369088,1324.5478818541799
17317.054502212064,1345.3796436933678
17347.401145548673,1367.8987363520885
17377.327245444358,1392.2350651259887
17415.004607887833,1418.4508700013514
17467.592498922033,1446.449614255342
17538.2934827342,1475.9167763937462
17624.559463798807,1506.3187423730876
17718.32949568937,1536.9670201020103
17808.549167060082,1567.130543568639
17885.3955790601,1596.1570456307657
17944.883152431918,1623.5535946570258
17992.1363485957,1648.981938332973
18041.780633335453,1672.146920222689
18114.648751483477,1692.5909126867164
18231.15159704954,1709.4442646421371
18402.883269606624,1721.2094614076204
18624.912680605004,1725.6647637495505
18871.41778968265,1719.9561045192127
19096.68854371724,1700.905564926604
19242.164533496336,1665.5096423504706
19248.435969988885,1611.544814203752
19069.52997182045,1538.1571891749
18685.83952674263,1446.300019638012
18112.07990868455,1338.9034813747653
17397.742077856434,1220.712502766377
16619.398060901243,1097.7991155934706
15866.384277153633,976.8286399786487
15223.220520838058,864.2156267017904
14753.070042724494,765.3312534629848
14486.31531881208,683.9120099445184
14416.965610728754,621.7729383833328
14507.512210821036,578.859307775357
14700.610966549608,553.5959922057825
14934.240371725497,543.4325282552932
15156.240117038558,545.4483431040168
15334.559763496269,556.8837090042518
15460.97049811356,575.4950753761116
15547.95656469328,599.6878996802633
15620.408772080566,628.4404380475534
15705.0403418032,661.0822681721243
15820.797857737069,697.0196055011738
15972.914607163297,735.5005848659671
16151.914579343787,775.4901319774243
16337.284116419654,815.6846758009659
16504.185672704523,854.6539075760318
16630.876465722857,891.0619108863763
16704.56620955407,923.9016011897248
16724.195649322195,952.6774831024625
16699.73235660848,977.4896959824023
16648.669164880306,999.0004915416514
16591.13289922716,1018.2942366365684
16545.185706228403,1036.6660809910097
16523.55087852735,1055.3875540495644
16532.31626642314,1075.4980397108363
16571.44475126522,1097.6610281249696
16636.412674276777,1122.1070930091432
16720.148039377615,1148.6662427301594
16814.638508369873,1176.874696915991
16911.97665099952,1206.1280993260236
17004.995479930712,1235.8462102710905
17087.83881703954,1265.6136700154286
17156.731571621236,1295.2672039616814
17210.922781562196,1324.9108268058535
17253.434371548276,1354.8557657944193
17291.058904391004,1385.4987223749526
17333.15033399306,1417.1675937162124
17389.156256645023,1449.9741552604642
17465.41542889422,1483.7149438144418
17562.253684209863,1517.8525313642724
17672.604940259575,1551.5899277777557
17783.104029389957,1584.0245652569472
17877.858492423078,1614.341671299912
17944.112426551943,1641.9878288034029
17978.108617002283,1666.7614345750192
17989.00031300601,1688.7716669031986
17998.91287091203,1708.2503714874283
18038.2374223131,1725.245130731398
18136.721472558653,1739.2652648593685
18312.46223063386,1748.982438961284
18561.986497280075,1752.0927881604034
18854.789732896694,1745.4226455922121
19134.83039341201,1725.3078248113595
19329.692962269943,1688.208040293495
19365.915075179637,1631.4504964679563
19186.975419564693,1553.9486028994688
18769.29884152699,1456.7282188254112
18131.770523092662,1343.1215941377507
17335.710596710534,1218.554269264066
16474.68846746812,1089.9382549423399
15656.284029262237,964.7744933671514
14980.144605344747,850.1361525014219
14517.776416852246,751.7337491272133
14299.106440906296,673.2452748162902
14309.05379325276,616.0334858987314
14494.667354445131,579.2836614622444
