Tran,San,Gia_tri_PPG,Truc_0
0,-300,-3236.13,0
300,-300,-3109.49,0
300,-300,-2945.79,0
300,-300,-2744.02,0
300,-300,-2510,0
300,-300,-2251.55,0
300,-300,-1980.59,0
300,-300,-1710.93,0
300,-300,-1458.29,0
300,-300,-1235.31,0
300,-300,-1053.96,0
300,-300,-921.32,0
300,-300,-841.84,0
300,-300,-815.57,0
300,-300,-837.26,0
300,-300,-899.82,0
300,-300,-993.98,0
300,-300,-1108.95,0
300,-300,-1234.57,0
300,-300,-1360.09,0
300,-300,-1476.56,0
300,-300,-1575.87,0
300,-300,-1652.83,0
300,-300,-1700.12,0
300,-300,-1711.16,0
300,-300,-1683.52,0
300,-300,-1614.78,0
300,-300,-1503.93,0
300,-300,-1353.04,0
300,-300,-1167.54,0
300,-300,-955.71,0
300,-300,-728.05,0
300,-300,-496.36,0
300,-300,-271.12,0
300,-300,-73.94,0
300,-300,96.3,0
300,-300,229.96,0
300,-300,321.3,0
300,-300,368.24,0
300,-300,372.6,0
300,-300,338.06,0
300,-300,267.93,0
300,-300,167.87,0
300,-300,40.29,0
300,-300,-111.49,0
300,-300,-289.94,0
300,-300,-495.99,0
300,-300,-730.68,0
300,-300,-994.2,0
300,-300,-1285.19,0
300,-300,-1599.67,0
300,-300,-1930.9,0
300,-300,-2268.83,0
300,-300,-2602.7,0
300,-300,-2922.4,0
300,-300,-3216.29,0
300,-300,-3477.69,0
300,-300,-3701,0
300,-300,-3884.28,0
300,-300,-4028.05,0
300,-300,-4134.49,0
300,-300,-4207.28,0
300,-300,-4248.28,0
300,-300,-4259.13,0
300,-300,-4241.07,0
300,-300,-4191.28,0
300,-300,-4109.24,0
300,-300,-3992.48,0
300,-300,-3841.57,0
300,-300,-3658.82,0
300,-300,-3450.27,0
300,-300,-3225.05,0
300,-300,-2991.89,0
300,-300,-2762.73,0
300,-300,-2547.37,0
300,-300,-2353.53,0
300,-300,-2187.27,0
300,-300,-2049.82,0
300,-300,-1939.81,0
300,-300,-1851.59,0
300,-300,-1778.74,0
300,-300,-1716.87,0
300,-300,-1658.55,0
300,-300,-1598.28,0
300,-300,-1535.59,0
300,-300,-1470.19,0
300,-300,-1404.69,0
300,-300,-1341.26,0
300,-300,-1282.3,0
300,-300,-1227.76,0
300,-300,-1176.57,0
300,-300,-1125.22,0
300,-300,-1067.84,0
300,-300,-995.76,0
300,-300,-904.47,0
300,-300,-788.5,0
300,-300,-646.52,0
300,-300,-480.04,0
300,-300,-294.5,0
300,-300,-97.92,0
300,-300,99.79,0
300,-300,286.93,0
300,-300,452.59,0
300,-300,589.08,0
300,-300,691.36,0
300,-300,756.91,0
300,-300,785.77,0
300,-300,780.95,0
300,-300,745.96,0
300,-300,683.6,0
300,-300,593.4,0
300,-300,476.5,0
300,-300,328.23,0
300,-300,146.97,0
300,-300,-73.09,0
300,-300,-333.78,0
300,-300,-634.52,0
300,-300,-970.31,0
300,-300,-1332.81,0
300,-300,-1709.38,0
300,-300,-2088,0
300,-300,-2451.7,0
300,-300,-2787.91,0
300,-300,-3086.49,0
300,-300,-3339.41,0
300,-300,-3544.21,0
300,-300,-3702.37,0
300,-300,-3817.6,0
300,-300,-3895.42,0
300,-300,-3941.75,0
300,-300,-3962.87,0
300,-300,-3960.61,0
300,-300,-3934.47,0
300,-300,-3884.05,0
300,-300,-3807.04,0
300,-300,-3700.94,0
300,-300,-3565.23,0
300,-300,-3401.56,0
300,-300,-3216.13,0
300,-300,-3017.65,0
300,-300,-2804.46,0
300,-300,-2595.82,0
300,-300,-2398.07,0
300,-300,-2220.93,0
300,-300,-2070.58,0
300,-300,-1950.5,0
300,-300,-1862.14,0
300,-300,-1803.12,0
300,-300,-1770.18,0
300,-300,-1758.38,0
300,-300,-1765.66,0
300,-300,-1783.78,0
300,-300,-1807.51,0
300,-300,-1832.22,0
300,-300,-1852.54,0
300,-300,-1862.02,0
300,-300,-1854.06,0
300,-300,-1821.51,0
300,-300,-1757.81,0
300,-300,-1656.19,0
300,-300,-1512.82,0
300,-300,-1325.22,0
300,-300,-1095.05,0
300,-300,-829.82,0
300,-300,-540.14,0
300,-300,-238.72,0
300,-300,58.76,0
300,-300,338.05,0
300,-300,584.89,0
300,-300,789.56,0
300,-300,943.64,0
300,-300,1045.69,0
300,-300,1099.31,0
300,-300,1108.91,0
300,-300,1080.47,0
300,-300,1022.16,0
300,-300,939.76,0
300,-300,837.41,0
300,-300,714.49,0
300,-300,568.76,0
300,-300,392.76,0
300,-300,184.07,0
300,-300,-61.51,0
300,-300,-345.05,0
300,-300,-663.76,0
300,-300,-1009.83,0
300,-300,-1372.45,0
300,-300,-1737.57,0
300,-300,-2090.86,0
300,-300,-2419.4,0
300,-300,-2714.25,0
300,-300,-2969.18,0
300,-300,-3181.47,0
300,-300,-3353.36,0
300,-300,-3490,0
300,-300,-3596.93,0
300,-300,-3679.92,0
300,-300,-3741.78,0
300,-300,-3783.54,0
300,-300,-3803.01,0
300,-300,-3798,0
300,-300,-3760.99,0
300,-300,-3690.65,0
300,-300,-3585.09,0
300,-300,-3447.75,0
300,-300,-3285.13,0
300,-300,-3108.11,0
300,-300,-2929.2,0
300,-300,-2762.58,0
300,-300,-2604.85,0
300,-300,-2480.18,0
300,-300,-2385.98,0
300,-300,-2325.59,0
300,-300,-2294.13,0
300,-300,-2285.14,0
300,-300,-2289.41,0
300,-300,-2298.44,0
300,-300,-2304.71,0
300,-300,-2302.53,0
300,-300,-2293.34,0
300,-300,-2273.56,0
300,-300,-2243.85,0
300,-300,-2207.8,0
300,-300,-2165.91,0
300,-300,-2117.96,0
300,-300,-2060.27,0
300,-300,-1988.62,0
300,-300,-1896.06,0
300,-300,-1777.48,0
300,-300,-1626.24,0
300,-300,-1437.11,0
300,-300,-1222.21,0
300,-300,-978.64,0
300,-300,-715.82,0
300,-300,-446.74,0
300,-300,-184.41,0
300,-300,56.58,0
300,-300,265.14,0
300,-300,431.97,0
300,-300,551.66,0
300,-300,622.69,0
300,-300,650.42,0
300,-300,635.59,0
300,-300,583.57,0
300,-300,498.91,0
300,-300,385.5,0
300,-300,244.19,0
300,-300,75.48,0
300,-300,-122.07,0
300,-300,-349.99,0
300,-300,-606.43,0
300,-300,-888.15,0
300,-300,-1188.56,0
300,-300,-1498.96,0
300,-300,-1807.33,0
300,-300,-2101.49,0
300,-300,-2370.1,0
300,-300,-2603.14,0
300,-300,-2795.04,0
300,-300,-2943.33,0
300,-300,-3049.71,0
300,-300,-3116.99,0
300,-300,-3152.55,0
300,-300,-3161.99,0
300,-300,-3151.06,0
300,-300,-3122.85,0
300,-300,-3078.82,0
300,-300,-3017.37,0
300,-300,-2937.1,0
300,-300,-2832.39,0
300,-300,-2701.04,0
300,-300,-2538.38,0
300,-300,-2348.66,0
300,-300,-2135.65,0
300,-300,-1908.25,0
300,-300,-1678.26,0
300,-300,-1461.04,0
300,-300,-1271.58,0
300,-300,-1127.33,0
300,-300,-1039.04,0
300,-300,-1015.79,0
300,-300,-1058.2,0
300,-300,-1163.78,0
300,-300,-1322.09,0
300,-300,-1518.24,0
300,-300,-1732.16,0
300,-300,-1943.01,0
300,-300,-2128.7,0
300,-300,-2273.9,0
300,-300,-2359.09,0
300,-300,-2376.41,0
300,-300,-2319.58,0
300,-300,-2191.77,0
300,-300,-2000.39,0
300,-300,-1758.01,0
300,-300,-1479.78,0
300,-300,-1183.83,0
300,-300,-887.69,0
300,-300,-609.7,0
300,-300,-358.3,0
300,-300,-157.99,0
300,-300,-0.55,0
300,-300,110.16,0
300,-300,174.84,0
300,-300,196.06,0
300,-300,179.06,0
300,-300,128.68,0
300,-300,50.49,0
300,-300,-52.02,0
300,-300,-177.56,0
300,-300,-321.78,0
300,-300,-488.48,0
300,-300,-678.69,0
300,-300,-891.68,0
300,-300,-1126.5,0
300,-300,-1379.66,0
300,-300,-1646.53,0
300,-300,-1919.97,0
300,-300,-2191.7,0
300,-300,-2453.15,0
300,-300,-2696.78,0
300,-300,-2915.77,0
300,-300,-3105.95,0
300,-300,-3264.61,0
300,-300,-3392.89,0
300,-300,-3492.11,0
300,-300,-3566.01,0
300,-300,-3618.43,0
300,-300,-3649.73,0
300,-300,-3660.29,0
300,-300,-3647.58,0
300,-300,-3609.11,0
300,-300,-3541.01,0
300,-300,-3439.13,0
300,-300,-3300.63,0
300,-300,-3124.93,0
300,-300,-2914.05,0
300,-300,-2660.18,0
300,-300,-2383.65,0
300,-300,-2092.26,0
300,-300,-1798.79,0
300,-300,-1519.91,0
300,-300,-1270.81,0
300,-300,-1065.67,0
300,-300,-915.15,0
300,-300,-826.19,0
300,-300,-800.34,0
300,-300,-836.51,0
300,-300,-922.84,0
300,-300,-1046.46,0
300,-300,-1189.4,0
300,-300,-1332.36,0
300,-300,-1455.64,0
300,-300,-1540.84,0
300,-300,-1573.42,0
300,-300,-1543.39,0
300,-300,-1447.18,0
300,-300,-1287.98,0
300,-300,-1074.03,0
300,-300,-818.75,0
300,-300,-541.01,0
300,-300,-259.64,0
300,-300,6.45,0
300,-300,241.67,0
300,-300,433.99,0
300,-300,576.5,0
300,-300,666.62,0
300,-300,706.46,0
300,-300,700.8,0
300,-300,658.49,0
300,-300,585.23,0
300,-300,487.7,0
300,-300,369.88,0
300,-300,234.03,0
300,-300,79.19,0
300,-300,-96.35,0
300,-300,-295.91,0
300,-300,-522.25,0
300,-300,-777.11,0
300,-300,-1054.76,0
300,-300,-1353.81,0
300,-300,-1665.41,0
300,-300,-1979.09,0
300,-300,-2283.27,0
300,-300,-2566.71,0
300,-300,-2820.03,0
300,-300,-3037.11,0
300,-300,-3214.62,0
300,-300,-3354.04,0
300,-300,-3456.7,0
300,-300,-3527.8,0
300,-300,-3572.01,0
300,-300,-3592.42,0
300,-300,-3590.58,0
300,-300,-3566.24,0
300,-300,-3516.26,0
300,-300,-3434.28,0
300,-300,-3315.86,0
300,-300,-3156.83,0
300,-300,-2954.75,0
300,-300,-2712.98,0
300,-300,-2438.39,0
300,-300,-2144.33,0
300,-300,-1846.48,0
300,-300,-1565.06,0
300,-300,-1319.29,0
300,-300,-1130.74,0
300,-300,-1011.32,0
300,-300,-970.18,0
300,-300,-1008.03,0
300,-300,-1117.35,0
300,-300,-1283.14,0
300,-300,-1484.71,0
300,-300,-1696.33,0
300,-300,-1892.38,0
300,-300,-2047.68,0
300,-300,-2144.31,0
300,-300,-2165.96,0
300,-300,-2105.66,0
300,-300,-1966.6,0
300,-300,-1758.3,0
300,-300,-1495.5,0
300,-300,-1197.96,0
300,-300,-886.76,0
300,-300,-582.46,0
300,-300,-303.55,0
300,-300,-65.27,0
300,-300,128.09,0
300,-300,260.13,0
300,-300,343.61,0
300,-300,381.59,0
300,-300,379.05,0
300,-300,342,0
300,-300,275.2,0
300,-300,182.46,0
300,-300,65.89,0
300,-300,-75.05,0
300,-300,-240.83,0
300,-300,-430.08,0
300,-300,-646.5,0
300,-300,-888.21,0
300,-300,-1151.83,0
300,-300,-1431.34,0
300,-300,-1719.03,0
300,-300,-2005.71,0
300,-300,-2281.75,0
300,-300,-2538.8,0
300,-300,-2769.52,0
300,-300,-2968.39,0
300,-300,-3134.3,0
300,-300,-3267.6,0
300,-300,-3370.33,0
300,-300,-3446.66,0
300,-300,-3500.24,0
300,-300,-3533.86,0
300,-300,-3548.81,0
300,-300,-3545.15,0
300,-300,-3520.51,0
300,-300,-3471.2,0
300,-300,-3394.8,0
300,-300,-3289.6,0
300,-300,-3155.35,0
300,-300,-2994.96,0
300,-300,-2812.81,0
300,-300,-2615.87,0
300,-300,-2413.22,0
300,-300,-2202.47,0
300,-300,-2005.41,0
300,-300,-1825.74,0
300,-300,-1670.92,0
300,-300,-1545.7,0
300,-300,-1452.89,0
300,-300,-1392.95,0
300,-300,-1364.33,0
300,-300,-1363.71,0
300,-300,-1388.43,0
300,-300,-1430.23,0
300,-300,-1482.48,0
300,-300,-1537.34,0
300,-300,-1585.89,0
300,-300,-1619.25,0
300,-300,-1629.65,0
300,-300,-1609.06,0
300,-300,-1552.24,0
300,-300,-1455.81,0
300,-300,-1320.13,0
300,-300,-1147.59,0
300,-300,-947.55,0
300,-300,-728.79,0
300,-300,-503.16,0
300,-300,-283.67,0
300,-300,-81.82,0
300,-300,91.72,0
300,-300,229.95,0
300,-300,328.25,0
300,-300,384.54,0
300,-300,400.95,0
300,-300,383.17,0
300,-300,333.86,0
300,-300,257.85,0
300,-300,158.05,0
300,-300,36.9,0
300,-300,-105.72,0
300,-300,-270.99,0
300,-300,-461.05,0
300,-300,-678.41,0
300,-300,-922.33,0
300,-300,-1188.85,0
300,-300,-1475.02,0
300,-300,-1772.64,0
300,-300,-2071.31,0
300,-300,-2360,0
300,-300,-2628.57,0
300,-300,-2867.69,0
300,-300,-3071.42,0
300,-300,-3238.08,0
300,-300,-3367.76,0
300,-300,-3461.93,0
300,-300,-3525.86,0
300,-300,-3564.08,0
300,-300,-3579.98,0
300,-300,-3575.51,0
300,-300,-3550.22,0
300,-300,-3502.9,0
300,-300,-3430.05,0
300,-300,-3327.82,0
300,-300,-3194.03,0
300,-300,-3026.02,0
300,-300,-2826.47,0
300,-300,-2600.74,0
300,-300,-2356.94,0
300,-300,-2106.63,0
300,-300,-1863.04,0
300,-300,-1640.91,0
300,-300,-1453.85,0
300,-300,-1315.65,0
300,-300,-1232.36,0
300,-300,-1207.48,0
300,-300,-1238.13,0
300,-300,-1317.58,0
300,-300,-1433.39,0
300,-300,-1569.95,0
300,-300,-1709.76,0
300,-300,-1834.9,0
300,-300,-1931.21,0
300,-300,-1983.28,0
300,-300,-1982.34,0
300,-300,-1923.7,0
300,-300,-1807.87,0
300,-300,-1640.52,0
300,-300,-1430.72,0
300,-300,-1191.37,0
300,-300,-936.1,0
300,-300,-679.52,0
300,-300,-435.96,0
300,-300,-217.43,0
300,-300,-28.82,0
300,-300,112.69,0
300,-300,216.88,0
300,-300,282.16,0
300,-300,310.08,0
300,-300,302.55,0
300,-300,263.01,0
300,-300,194.94,0
300,-300,99.84,0
300,-300,-20.33,0
300,-300,-163.12,0
300,-300,-331.07,0
300,-300,-523.79,0
300,-300,-740.5,0
300,-300,-978.45,0
300,-300,-1234.79,0
300,-300,-1502.77,0
300,-300,-1775.63,0
300,-300,-2045.41,0
300,-300,-2303.39,0
300,-300,-2541.29,0
300,-300,-2753.65,0
300,-300,-2936.11,0
300,-300,-3087.12,0
300,-300,-3207.26,0
300,-300,-3298.66,0
300,-300,-3364.02,0
300,-300,-3406.11,0
300,-300,-3427.7,0
300,-300,-3429.11,0
300,-300,-3408.25,0
300,-300,-3364.65,0
300,-300,-3294.96,0
300,-300,-3196.77,0
300,-300,-3067.27,0
300,-300,-2906.29,0
300,-300,-2715.54,0
300,-300,-2499.88,0
300,-300,-2256.9,0
300,-300,-2008.55,0
300,-300,-1761.65,0
300,-300,-1531,0
300,-300,-1329.61,0
300,-300,-1169.37,0
300,-300,-1058.98,0
300,-300,-1003.96,0
300,-300,-1004.65,0
300,-300,-1056.92,0
300,-300,-1151.21,0
300,-300,-1274.93,0
300,-300,-1410.4,0
300,-300,-1540.21,0
300,-300,-1646.13,0
300,-300,-1712.25,0
300,-300,-1725.37,0
300,-300,-1678.08,0
300,-300,-1567.39,0
300,-300,-1396.53,0
300,-300,-1175.02,0
300,-300,-916.04,0
300,-300,-636.96,0
300,-300,-355.69,0
300,-300,-89.69,0
300,-300,145.16,0
300,-300,337.56,0
300,-300,480.97,0
300,-300,572.1,0
300,-300,610.42,0
300,-300,602.21,0
300,-300,552.01,0
300,-300,468.75,0
300,-300,356.83,0
300,-300,221.59,0
300,-300,65.67,0
300,-300,-108.42,0
300,-300,-300.5,0
300,-300,-510.06,0
300,-300,-738.71,0
300,-300,-983.53,0
300,-300,-1240.86,0
300,-300,-1507.26,0
300,-300,-1776.83,0
300,-300,-2041.09,0
300,-300,-2292.47,0
300,-300,-2523.82,0
300,-300,-2729.99,0
300,-300,-2906.79,0
300,-300,-3056.52,0
300,-300,-3178.17,0
300,-300,-3275.71,0
300,-300,-3351.5,0
300,-300,-3409.15,0
300,-300,-3449.44,0
300,-300,-3472.43,0
300,-300,-3475.46,0
300,-300,-3455.9,0
300,-300,-3409.42,0
300,-300,-3329.49,0
300,-300,-3214.53,0
300,-300,-3062.3,0
300,-300,-2875.44,0
300,-300,-2660.19,0
300,-300,-2425.21,0
300,-300,-2183.71,0
300,-300,-1949.49,0
300,-300,-1738.24,0
300,-300,-1562.92,0
300,-300,-1438.46,0
300,-300,-1369.88,0
300,-300,-1359.88,0
300,-300,-1405.68,0
300,-300,-1498.62,0
300,-300,-1624.88,0
300,-300,-1767.12,0
300,-300,-1906.05,0
300,-300,-2022.13,0
300,-300,-2097.78,0
300,-300,-2120.58,0
300,-300,-2080.88,0
300,-300,-1974.74,0
300,-300,-1805.82,0
300,-300,-1582.97,0
300,-300,-1319.05,0
300,-300,-1030.84,0
300,-300,-735.68,0
300,-300,-451.34,0
300,-300,-193.82,0
300,-300,25.63,0
300,-300,202.13,0
300,-300,322.95,0
300,-300,400.25,0
300,-300,434.97,0
300,-300,431.74,0
300,-300,395.49,0
300,-300,331.58,0
300,-300,243.25,0
300,-300,132.21,0
300,-300,-1.32,0
300,-300,-158.42,0
300,-300,-341.72,0
300,-300,-552.03,0
300,-300,-790.09,0
300,-300,-1053.42,0
300,-300,-1337.98,0
300,-300,-1636.14,0
300,-300,-1939.56,0
300,-300,-2238.32,0
