Tran,San,Gia_tri_PPG,Truc_0
300,-300,-1577.31,0
300,-300,-1438.01,0
300,-300,-1279.79,0
300,-300,-1112.37,0
300,-300,-943.93,0
300,-300,-784.03,0
300,-300,-637.3,0
300,-300,-510.27,0
300,-300,-404.61,0
300,-300,-321.7,0
300,-300,-260.81,0
300,-300,-222.21,0
300,-300,-205.8,0
300,-300,-211.52,0
300,-300,-241.12,0
300,-300,-294.56,0
300,-300,-372.68,0
300,-300,-475.34,0
300,-300,-600.47,0
300,-300,-745.7,0
300,-300,-906.64,0
300,-300,-1077.62,0
300,-300,-1252.39,0
300,-300,-1424.92,0
300,-300,-1590.05,0
300,-300,-1742.82,0
300,-300,-1881.09,0
300,-300,-2003.19,0
300,-300,-2110.14,0
300,-300,-2203.67,0
300,-300,-2285.86,0
300,-300,-2358.26,0
300,-300,-2421.5,0
300,-300,-2474.75,0
300,-300,-2510.35,0
300,-300,-2529.57,0
300,-300,-2526.21,0
300,-300,-2497.49,0
300,-300,-2440.91,0
300,-300,-2357.87,0
300,-300,-2252.02,0
300,-300,-2130.36,0
300,-300,-2002.7,0
300,-300,-1880.09,0
300,-300,-1774.03,0
300,-300,-1695.46,0
300,-300,-1651.29,0
300,-300,-1644.95,0
300,-300,-1676.07,0
300,-300,-1738.56,0
300,-300,-1822.46,0
300,-300,-1914.98,0
300,-300,-2001.87,0
300,-300,-2069.72,0
300,-300,-2107.56,0
300,-300,-2106.88,0
300,-300,-2063.59,0
300,-300,-1979.51,0
300,-300,-1859.32,0
300,-300,-1711.02,0
300,-300,-1544.79,0
300,-300,-1370.65,0
300,-300,-1198.66,0
300,-300,-1036.59,0
300,-300,-889.72,0
300,-300,-760.29,0
300,-300,-652.08,0
300,-300,-563.11,0
300,-300,-491.83,0
300,-300,-438.14,0
300,-300,-402.33,0
300,-300,-385.7,0
300,-300,-390.89,0
300,-300,-421.93,0
300,-300,-480.35,0
300,-300,-567.89,0
300,-300,-685.35,0
300,-300,-829.96,0
300,-300,-998.05,0
300,-300,-1183.78,0
300,-300,-1379.79,0
300,-300,-1578.46,0
300,-300,-1772.46,0
300,-300,-1957.12,0
300,-300,-2126.83,0
300,-300,-2279.89,0
300,-300,-2416.54,0
300,-300,-2536.99,0
300,-300,-2643.82,0
300,-300,-2738.48,0
300,-300,-2822.79,0
300,-300,-2895.97,0
300,-300,-2957.76,0
300,-300,-3006.82,0
300,-300,-3039.92,0
300,-300,-3055.04,0
300,-300,-3048.71,0
300,-300,-3020.6,0
300,-300,-2970.45,0
300,-300,-2900.9,0
300,-300,-2814.84,0
300,-300,-2717.79,0
300,-300,-2615.43,0
300,-300,-2509.84,0
300,-300,-2411.58,0
300,-300,-2322.08,0
300,-300,-2246.13,0
300,-300,-2185.2,0
300,-300,-2139.37,0
300,-300,-2107.68,0
300,-300,-2087.54,0
300,-300,-2075.43,0
300,-300,-2066.57,0
300,-300,-2056.76,0
300,-300,-2041.45,0
300,-300,-2015.28,0
300,-300,-1975.49,0
300,-300,-1918.76,0
300,-300,-1843.12,0
300,-300,-1747.46,0
300,-300,-1632.73,0
300,-300,-1500.7,0
300,-300,-1356.51,0
300,-300,-1202.28,0
300,-300,-1042.99,0
300,-300,-888.07,0
300,-300,-738.46,0
300,-300,-598.49,0
300,-300,-472.21,0
300,-300,-361.88,0
300,-300,-268.99,0
300,-300,-194.09,0
300,-300,-138.65,0
