Original,Filtered
-60875.22764894622,-5990.172331548569
-60618.023050233394,-5889.084986431705
-60248.35449645925,-5665.521756748252
-59844.4498350662,-5397.545470308272
-59473.40960587197,-5158.95594057007
-59176.647685432334,-5002.077802354845
-58963.48739766536,-4947.132476191656
-58813.26915871163,-4980.137528627497
-58684.22599590454,-5059.160067399452
-58526.09018794181,-5126.853023490901
-58293.089101595695,-5125.939502245973
-57954.53753264112,-5013.905455081279
-57501.28148644668,-4773.620244793059
-56947.39780380673,-4417.742111547462
-56327.49513529037,-3986.2704353632475
-55690.561367746006,-3538.127359382254
-55091.59325525141,-3138.872620815294
-54582.34761133465,-2847.354861614902
-54202.58469705444,-2704.179283144711
-53973.16289619539,-2724.349132630864
-53892.22310233302,-2895.4499601066127
-53935.362615426304,-3181.5039726595255
-54060.05686906272,-3531.383728271375
-54213.69969024165,-3889.6973438044274
-54343.68151091456,-4207.553803210036
-54407.21463241987,-4450.709806041866
-54378.44150127556,-4603.2877491850495
-54250.901530216506,-4666.398713247799
-54034.635709083246,-4652.343889038101
-53748.78076525533,-4576.270461819579
-53411.971838577374,-4447.897733858453
-53033.73775800712,-4265.975306307224
-52609.9715846137,-4017.4262322250274
-52124.43283247009,-3681.8086700976123
-51556.35487942936,-3240.1302773123643
-50892.14649268606,-2685.610055191239
-50137.558530852,-2033.1334333829047
-49326.10438845743,-1324.182806366329
-48520.24930334883,-625.0077678502234
-47803.78917232717,-17.516228212579534
-47266.40515350595,415.6202145436431
-46983.85680009092,608.4007220823329
-46998.88394612447,527.2449624181673
-47308.10137605696,180.94995035948818
-47858.85087846519,-378.0187737641567
-48557.45515326492,-1061.7122047417126
-49287.2956114444,-1762.81688954297
-49932.475473928906,-2375.1544845291933
-50401.30181584849,-2813.88839173999
-50643.869510443146,-3030.842911814226
-50659.635101130974,-3021.5948284097035
-50493.566285838526,-2823.0793508381316
-50222.4536351681,-2502.7903840760196
-49935.42428365294,-2142.6197179613255
-49713.92920679863,-1821.463495818271
-49616.19096155633,-1600.682415195464
-49669.45844363039,-1515.4124515796777
-49870.969833566654,-1572.9499744590817
-50196.03711502499,-1757.5114111349037
-50609.86721596088,-2039.131111736095
-51079.10452677289,-2383.6996999863272
-51579.715145582166,-2761.2945456014363
-52099.429287441,-3150.8765291206564
-52634.93759117136,-3540.7745869196833
-53185.74042473831,-3925.713444817609
-53747.45490889709,-4302.071306553906
-54307.26763775768,-4663.355271852436
-54843.20895331522,-4997.539558937054
-55327.43062190191,-5287.108173133053
-55732.24073700746,-5511.681297809501
-56036.76325190946,-5652.297000423639
-56232.01455772115,-5695.992803348871
-56322.876918077,-5639.363120137359
-56326.59999938931,-5490.182673005478
-56268.62777836651,-5266.798675341461
-56177.31383684421,-4995.589013602792
-56079.21209699024,-4707.187152215726
-55996.12914837137,-4432.309303759785
-55944.24838452974,-4197.913121573325
-55934.76581116326,-4024.1731401658517
-55974.96273568157,-3922.5018989549835
-56068.674530557655,-3894.670181717774
-56215.6512435976,-3933.011896665523
-56410.09003573484,-4021.6983150874275
-56639.29114086006,-4139.0545968253355
-56883.62991869912,-4260.79911665875
-57118.70552554023,-4363.8933679652355
-57319.71785434823,-4430.445675351366
-57467.14668752966,-4450.918386512175
-57552.05839494179,-4425.860998398554
-57579.18277813406,-4365.605632547194
-57566.4249885296,-4287.808184087938
-57540.56858327762,-4213.294141010803
-57530.22443053385,-4161.197400313104
-57558.11551566573,-4144.674196950959
-57635.15552419982,-4168.398708588764
-57758.297241862805,-4228.580299296496
-57912.91634076127,-4315.496471326897
-58078.94992602479,-4417.7306027141
-58238.6631006389,-4526.701929036518
-58383.25952634581,-4639.8948704122695
-58515.851581339295,-4761.5306730250595
-58649.49882802202,-4900.206560168355
-58800.731171733576,-5064.032790871567
-58980.621944515886,-5254.713116906434
-59186.490903032725,-5462.533866937051
-59397.324912992015,-5664.154157022285
-59574.96204704373,-5824.405400623898
-59671.30784998232,-5902.186410752396
-59639.90556473404,-5859.3017492699755
-59448.69845306765,-5670.10818221223
-59090.29250293409,-5329.417213926317
-58586.631476462746,-4856.400506216097
-57986.55356193967,-4293.199154613015
-57356.72214211815,-3698.2908642413777
-56768.28781174601,-3136.042945928023
-56282.78133931519,-2664.8857581000807
-55940.83431064528,-2326.89765636756
-55756.38930245912,-2141.2031355200993
-55717.42097011746,-2102.5684710535756
-55792.37108272289,-2185.2270440990696
-55940.0487606982,-2350.6594841977585
-56120.05965779647,-2557.146281029983
-56301.03964237898,-2768.630935854124
-56464.92478016716,-2960.822024572098
-56606.83237095828,-3123.3749660518993
-56731.41542743405,-3258.143242381396
-56847.41159429056,-3374.54011175
-56962.338533807706,-3483.721063373854
-57078.91103151751,-3593.427871458101
-57193.9705968534,-3704.9347667646557
-57299.82662705557,-3812.7641931900653
-57387.19135784185,-3906.9464505341184
-57448.53944987922,-3976.8516429022334
-57480.77597301274,-4015.2278198842464
-57486.4696400234,-4021.1226162505614
-57473.431639288414,-4000.8000070404128
-57452.91485958231,-3966.431879691061
-57437.039270905705,-3933.0324043547607
-57436.16212266208,-3914.607535424052
-57456.82349255763,-3920.676123323139
-57500.67848785232,-3954.149331453936
-57564.5548133535,-4011.103036318474
-57641.520936938585,-4082.393257100634
-57722.65055177759,-4156.526991684406
-57799.04743176257,-4222.866158061357
-57863.657210268655,-4274.19947968382
-57912.444610571365,-4307.965562882329
-57944.65829190985,-4325.864447477735
-57962.12996452152,-4332.111959364337
-57967.82308953066,-4331.014724513109
-57964.09618028568,-4324.7486400831895
-57951.29169920837,-4312.1513907826475
-57927.23603277534,-4289.013639689235
-57888.00633910842,-4249.87117883281
-57829.92388193751,-4190.804310124298
-57752.27695482323,-4112.388100691699
-57659.90927725215,-4021.817467818468
-57564.67727607428,-3933.3952610713345
-57484.96702131743,-3866.980283199562
-57442.95419656079,-3844.5367175240003
-57459.96343352964,-3885.4587235171703
-57550.93371595883,-4001.718080201236
-57719.40911197475,-4193.99530258989
-57954.49073568205,-4449.773143523904
-58230.77017581129,-4743.942498096387
-58511.52049853843,-5041.9062635912705
-58754.56304177432,-5304.6116115256
-58919.51640573746,-5494.532956352415
-58974.784733501656,-5581.459710078702
-58902.75436987164,-5547.040175448326
-58702.197451667045,-5387.350806965841
-58387.64161276359,-5113.200909500572
-57986.21691082002,-4748.327798440266
-57533.0033561166,-4325.981834534353
-57066.04625461451,-3884.58213936946
-56621.98762149996,-3463.1345349999647
-56232.81088099317,-3096.9845689901776
-55923.71249472799,-2814.299553722551
-55711.78861139799,-2633.5036171592465
-55605.15915830354,-2561.7735428129877
-55602.33766859624,-2594.647973991345
-55691.96738909808,-2716.7811350867214
-55853.30969488304,-2903.839536236626
-56057.93461577709,-3125.4569764659345
-56272.85794729375,-3349.017305450979
-56464.945443952594,-3543.8506578481943
-56605.914401344766,-3685.263763871446
-56676.89928418994,-3757.7473180563684
-56671.475094916175,-3756.767750723795
-56596.3156279279,-3688.7730584322608
-56469.23805762274,-3569.387730807151
-56315.07882451735,-3420.159573197938
-56160.43637670876,-3264.5467606990796
-56028.608059048434,-3124.0004461895646
-55935.94379706246,-3014.9506451244724
-55890.37311145956,-2947.2460112762556
-55892.18756953093,-2924.1997117087612
-55936.49923173748,-2943.966859093522
-56016.35609924727,-3001.6479562265786
-56125.40855942256,-3091.374392763378
-56259.29654614044,-3207.72494573936
-56415.45495385738,-3346.1139560867846
-56591.62861077515,-3502.1877901422818
-56783.84882606441,-3670.638674792804
-56984.805221306,-3844.0731351921318
-57183.40339798371,-4012.5801812717805
-57365.88931089236,-4164.425612526205
-57518.3879794649,-4287.919074182696
-57630.21698912962,-4374.077902146423
-57697.04584485086,-4419.380466127314
-57722.95776672017,-4427.7703003987535
-57720.72783614782,-4411.190188467958
-57710.07851570738,-4388.267109729381
-57714.18201088194,-4381.241650232223
-57755.11307727184,-4411.706543781531
-57849.21121828016,-4496.055735132725
-58003.33440446623,-4641.65395412296
-58212.787375516586,-4844.589073852319
-58461.343208038445,-5089.509435113839
-58723.340889078965,-5351.576835636075
-58967.43127354579,-5600.109623193571
-59161.24655355309,-5803.16394066502
-59276.13693958469,-5932.175232744348
-59291.16977213153,-5965.866167462398
-59195.79355747501,-5892.872203418644
-58990.874850842825,-5712.854991275369
-58688.14022121696,-5436.171794406721
-58308.3236589046,-5082.373959817813
-57878.475835649726,-4677.889857361279
-57428.9140143863,-4253.225146391319
-56990.20322711064,-3839.937273763076
-56590.41256704339,-3467.5731397027557
-56252.75493412992,-3160.743666033361
-55993.64962087968,-2936.5558817436186
-55821.266976791136,-2802.701741808906
-55734.69995386502,-2756.555351734073
-55723.99679064608,-2785.5955567492133
-55771.30503903804,-2869.312436649215
-55853.26396519913,-2982.482589874803
-55944.52758767642,-3099.36764702925
-56021.96241381157,-3198.097935823699
-56068.747670007215,-3264.350524519477
-56077.44127142154,-3293.4918044298715
-56051.1616246574,-3290.6455622684125
-56002.4017781035,-3268.613956393669
-55949.572687440144,-3244.1060269991476
-55912.00871289583,-3233.1714159413714
-55904.66804698949,-3246.964010770832
-55933.94397334228,-3288.894544358489
-55995.777559413946,-3353.878315276786
-56076.66431020621,-3429.8345146747897
-56157.335172927575,-3500.9983367711056
-56218.10828899228,-3552.1340953028553
-56244.39986701182,-3572.5211228001967
-56230.82050810989,-3558.683378120296
-56182.70041862071,-3515.2139864919277
-56114.65812997455,-3453.5900508357695
-56046.712686395374,-3389.417468591619
-55999.15476271954,-3338.9315835590905
-55987.7100638343,-3315.702831586891
-56020.35233355664,-3328.337986994633
-56096.5242734669,-3379.5966219671473
-56208.71424868311,-3466.891278656727
-56345.59615582199,-3583.758082242157
-56495.5191397971,-3721.688371988784
-56649.165190045474,-3871.746669189528
-56800.64072282255,-4025.6276434196907
-56946.95119875437,-4176.119647645379
-57086.45599470216,-4317.2132608103775
-57217.26653299218,-4444.211240028961
-57336.49422256596,-4554.116167493473
-57440.80198844038,-4646.330169308334
-57528.04887395734,-4723.402907005251
-57599.21317005957,-4791.345770199348
-57659.49487505527,-4859.00686096579
-57717.679075700726,-4936.220118344152
-57783.454129416416,-5030.857602231368
-57863.21817110011,-5145.396853865606
-57955.663209046186,-5273.990523634638
-58048.79299529345,-5401.132065331475
-58119.825907932136,-5502.76132407552
-58138.66694186282,-5550.071656713442
-58074.52139987792,-5515.506622678679
-57904.12156238794,-5379.691750723982
-57619.32363745561,-5137.574670507239
-57231.77623268189,-4802.025158096205
-56773.02669150926,-4403.633511567967
-56289.64727611186,-3986.3482555054998
-55834.376205092056,-3599.6848918982805
-55455.44220444105,-3289.2133523214666
-55186.81405956893,-3087.6012085707703
-55041.90221655588,-3008.460565475238
-55012.29355292991,-3044.59039354694
-55071.70248947681,-3171.076141243681
-55183.884951534994,-3352.40481031248
-55312.204529253904,-3551.6424872255006
-55428.16136210506,-3739.1307183491494
-55516.587563058354,-3898.279899564448
-55576.24513646834,-4026.8646274916005
-55615.92633898425,-4133.543778945784
-55647.459891720544,-4230.769371243605
-55677.90989101488,-4326.3923279086885
-55703.48515636983,-4416.767273379455
-55707.20341632928,-4483.824292254844
-55661.309815400935,-4497.470820237947
-55534.10931629258,-4423.099765786051
-55299.58143351509,-4232.3566739185735
-54947.23665769687,-3914.1403172057953
-54489.38905810032,-3482.4542774850106
-53963.46121138089,-2978.3483342980517
-53428.036416332805,-2464.6666081476747
-52952.9022251182,-2014.2765297725678
-52604.93552127508,-1694.351380035803
-52432.960846865295,-1550.570972507245
-52455.30673160454,-1595.3895708699163
-52653.46201742262,-1803.6677316234072
-52973.98357657281,-2117.1657283557406
-53338.86527992867,-2457.1182016882813
-53662.40067081242,-2741.9723141615827
-53870.73525908711,-2905.972196564742
-53919.35050207555,-2914.012304979147
-53803.9967109404,-2769.146427703319
-53562.1150304151,-2511.0655592374073
-53264.21075059601,-2206.209406485777
-52997.31574662719,-1932.294704025062
-52844.83534378597,-1761.3421286326432
-52868.05548676745,-1745.420063540056
-53094.056168429,-1908.2997970296478
-53512.85747850074,-2244.375189667542
-54083.88301838578,-2724.1148215429703
-54749.10790695976,-3303.613727480858
-55448.42431917565,-3934.9816325203533
-56132.39534333564,-4574.542535879673
-56768.78534964728,-5186.979800167963
-57341.63060233236,-5745.206324753394
-57844.3253023483,-6227.29538113162
-58270.30039419941,-6612.750747106802
-58605.62338151272,-6880.426521147267
-58826.97797820093,-7009.550812470338
